"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528923","1.23.3.3.1.1","1293","","","","0"
"2005","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528923","1.23.3.3.1.1","1473","E","","","0"
"2012","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528923","1.23.3.3.1.1","2157","E","","","0"
"2016","Canada","2016A000011124","Credit card and installment debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80528923","1.23.3.3.1.1","1596","","","","0"
"1999","Canada","2016A000011124","Student loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529049","1.24.3.3.1.1","4646","","","","0"
"2005","Canada","2016A000011124","Student loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529049","1.24.3.3.1.1","5398","E","","","0"
"2012","Canada","2016A000011124","Student loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529049","1.24.3.3.1.1","7144","E","","","0"
"2016","Canada","2016A000011124","Student loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529049","1.24.3.3.1.1","6175","","","","0"
"1999","Canada","2016A000011124","Vehicle loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529175","1.25.3.3.1.1","2881","","","","0"
"2005","Canada","2016A000011124","Vehicle loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529175","1.25.3.3.1.1","3692","E","","","0"
"2012","Canada","2016A000011124","Vehicle loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529175","1.25.3.3.1.1","3278","E","","","0"
"2016","Canada","2016A000011124","Vehicle loans","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529175","1.25.3.3.1.1","4807","","","","0"
"1999","Canada","2016A000011124","Other debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529301","1.26.3.3.1.1","1218","","","","0"
"2005","Canada","2016A000011124","Other debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529301","1.26.3.3.1.1","889","E","","","0"
"2012","Canada","2016A000011124","Other debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529301","1.26.3.3.1.1","1190","E","","","0"
"2016","Canada","2016A000011124","Other debt","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529301","1.26.3.3.1.1","1022","E","","","0"
"1999","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529427","1.27.3.3.1.1","54056","E","","","0"
"2005","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529427","1.27.3.3.1.1","38371","","","","0"
"2012","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529427","1.27.3.3.1.1","58442","","","","0"
"2016","Canada","2016A000011124","Net Worth (assets less debts)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80529427","1.27.3.3.1.1","97145","","","","0"


