"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Mortgage on principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528513","1.20.1.3.5.1","80200","","","","0"
"2005","Canada","2016A000011124","Mortgage on principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528513","1.20.1.3.5.1","78000","","","","0"
"2012","Canada","2016A000011124","Mortgage on principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528513","1.20.1.3.5.1","126600","","","","0"
"2016","Canada","2016A000011124","Mortgage on principal residence","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528513","1.20.1.3.5.1","135000","","","","0"
"1999","Canada","2016A000011124","Mortgage on other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528639","1.21.1.3.5.1","69100","","","","0"
"2005","Canada","2016A000011124","Mortgage on other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528639","1.21.1.3.5.1","117600","E","","","0"
"2012","Canada","2016A000011124","Mortgage on other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528639","1.21.1.3.5.1","147700","E","","","0"
"2016","Canada","2016A000011124","Mortgage on other real estate","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528639","1.21.1.3.5.1","150000","E","","","0"
"1999","Canada","2016A000011124","Line of credit","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528765","1.22.1.3.5.1","5500","","","","0"
"2005","Canada","2016A000011124","Line of credit","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528765","1.22.1.3.5.1","6000","","","","0"
"2012","Canada","2016A000011124","Line of credit","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528765","1.22.1.3.5.1","7900","","","","0"
"2016","Canada","2016A000011124","Line of credit","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528765","1.22.1.3.5.1","11000","","","","0"
"1999","Canada","2016A000011124","Credit card and installment debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528891","1.23.1.3.5.1","1700","","","","0"
"2005","Canada","2016A000011124","Credit card and installment debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528891","1.23.1.3.5.1","1800","","","","0"
"2012","Canada","2016A000011124","Credit card and installment debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528891","1.23.1.3.5.1","2100","","","","0"
"2016","Canada","2016A000011124","Credit card and installment debt","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80528891","1.23.1.3.5.1","2000","","","","0"
